model,accuracy,precision,recall,f1,roc_auc
GradBoost,0.8072657913413769,0.9717652289906625,0.6812124990259487,0.8009528608731504,0.9441430753273619
Bagging(Tree),0.7993701206529453,0.9682217714672076,0.6695238837372399,0.7916340351038835,
Stacking,0.7910752306600426,0.9687247547605309,0.6540949115561443,0.7809098520792632,
ExtraTrees,0.790055003548616,0.9678835489833642,0.6528481259253487,0.7797477779328958,0.9573601777731944
DecisionTree,0.7853530872959545,0.9647674418604651,0.646536273669446,0.7742266598236365,0.807856003674108
SVC_RBF,0.7844215755855216,0.9607072691552063,0.6477830593002416,0.7738061993856464,0.8898000415868037
Voting(hard),0.772888573456352,0.9678515103724372,0.6216784851554585,0.7570696526855191,
LDA,0.76166607523066,0.9249259512417407,0.6326657835268449,0.7513766137615103,0.8483949163635102
RandomForest,0.7681866572036906,0.9676626091233247,0.6132626821475883,0.7507392921873509,0.9610773243407106
AdaBoost,0.7645049680624556,0.9637573964497042,0.6092106288475025,0.7465266173311053,0.9327358887383448
KNN,0.763972675656494,0.9671641791044776,0.6059378165666641,0.7450773726824127,0.8413178977330699
LinearSVC,0.7515525195173882,0.9163979732842008,0.620120003116964,0.7396941952874472,0.7861783506398904
LogReg,0.7347853087295955,0.9139888862043972,0.5895737551624718,0.7167827199090522,0.8603257776323451
GaussianNB,0.5664034776437189,0.9781113195747342,0.2437465908205408,0.3902439024390244,0.7992085267182695
