iter	Passed	Remaining
0	87	26211
1	110	16453
2	129	12862
3	146	10825
4	165	9790
5	183	8999
6	204	8563
7	222	8103
8	242	7835
9	260	7550
10	277	7291
11	296	7106
12	318	7031
13	340	6957
14	357	6795
15	378	6717
16	398	6637
17	421	6601
18	437	6471
19	458	6414
20	473	6294
21	488	6172
22	505	6084
23	518	5964
24	534	5884
25	553	5836
26	573	5798
27	593	5763
28	610	5709
29	629	5668
30	644	5593
31	665	5574
32	684	5538
33	699	5474
34	717	5435
35	734	5387
36	751	5339
37	766	5287
38	780	5225
39	798	5192
40	811	5125
41	829	5096
42	846	5056
43	864	5028
44	876	4966
45	893	4931
46	913	4915
47	931	4889
48	946	4849
49	964	4822
50	984	4807
51	997	4755
52	1013	4724
53	1026	4675
54	1042	4644
55	1058	4611
56	1069	4560
57	1085	4527
58	1099	4492
59	1117	4469
60	1131	4433
61	1152	4422
62	1169	4398
63	1181	4356
64	1196	4325
65	1210	4293
66	1226	4266
67	1243	4243
68	1256	4205
69	1271	4178
70	1284	4141
71	1301	4121
72	1319	4101
73	1333	4072
74	1354	4064
75	1368	4033
76	1388	4020
77	1403	3995
78	1418	3966
79	1439	3959
80	1452	3927
81	1471	3912
82	1488	3890
83	1505	3872
84	1521	3847
85	1535	3822
86	1550	3796
87	1567	3777
88	1581	3749
89	1595	3723
90	1612	3703
91	1625	3675
92	1638	3646
93	1658	3634
94	1674	3612
95	1689	3591
96	1703	3564
97	1717	3540
98	1731	3515
99	1749	3498
100	1764	3476
101	1778	3452
102	1793	3430
103	1808	3408
104	1827	3393
105	1846	3379
106	1863	3360
107	1879	3341
108	1892	3316
109	1907	3294
110	1924	3277
111	1943	3262
112	1964	3251
113	1983	3236
114	2002	3221
115	2013	3194
116	2036	3185
117	2051	3164
118	2069	3147
119	2088	3132
120	2100	3107
121	2113	3083
122	2130	3066
123	2145	3045
124	2158	3021
125	2171	2998
126	2190	2984
127	2205	2964
128	2222	2945
129	2245	2936
130	2261	2917
131	2277	2898
132	2292	2878
133	2309	2861
134	2326	2843
135	2339	2821
136	2356	2803
137	2373	2785
138	2387	2765
139	2399	2742
140	2411	2719
141	2425	2699
142	2435	2674
143	2446	2649
144	2459	2628
145	2470	2605
146	2483	2584
147	2494	2562
148	2504	2538
149	2514	2514
150	2524	2491
151	2534	2467
152	2546	2447
153	2557	2424
154	2569	2403
155	2579	2381
156	2591	2360
157	2601	2337
158	2611	2316
159	2621	2293
160	2631	2271
161	2641	2250
162	2651	2228
163	2661	2207
164	2676	2190
165	2688	2170
166	2702	2152
167	2714	2132
168	2724	2111
169	2734	2090
170	2745	2070
171	2762	2055
172	2775	2037
173	2788	2019
174	2800	2000
175	2812	1981
176	2826	1964
177	2841	1947
178	2855	1930
179	2870	1913
180	2883	1896
181	2898	1879
182	2910	1860
183	2920	1840
184	2939	1827
185	2949	1808
186	2963	1790
187	2976	1773
188	2991	1756
189	3003	1739
190	3018	1722
191	3034	1706
192	3048	1690
193	3061	1672
194	3073	1654
195	3083	1635
196	3093	1617
197	3109	1601
198	3121	1584
199	3131	1565
200	3141	1547
201	3153	1529
202	3166	1513
203	3178	1495
204	3193	1480
205	3206	1463
206	3219	1446
207	3230	1428
208	3244	1412
209	3257	1395
210	3266	1377
211	3276	1359
212	3286	1342
213	3300	1326
214	3311	1309
215	3322	1292
216	3336	1276
217	3348	1259
218	3366	1245
219	3379	1229
220	3393	1213
221	3406	1196
222	3419	1180
223	3435	1165
224	3448	1149
225	3461	1133
226	3474	1117
227	3487	1101
228	3501	1085
229	3515	1069
230	3526	1053
231	3538	1037
232	3549	1020
233	3564	1005
234	3577	989
235	3588	973
236	3600	957
237	3610	940
238	3621	924
239	3632	908
240	3648	893
241	3661	877
242	3673	861
243	3685	845
244	3696	829
245	3706	813
246	3721	798
247	3732	782
248	3744	766
249	3763	752
250	3776	737
251	3788	721
252	3800	706
253	3810	690
254	3819	674
255	3829	658
256	3839	642
257	3849	626
258	3864	611
259	3875	596
260	3887	580
261	3900	565
262	3914	550
263	3926	535
264	3940	520
265	3953	505
266	3964	490
267	3981	475
268	3992	460
269	4004	444
270	4017	429
271	4029	414
272	4040	399
273	4056	384
274	4067	369
275	4081	354
276	4095	340
277	4109	325
278	4121	310
279	4133	295
280	4144	280
281	4158	265
282	4171	250
283	4185	235
284	4197	220
285	4208	206
286	4224	191
287	4236	176
288	4249	161
289	4260	146
290	4270	132
291	4281	117
292	4294	102
293	4305	87
294	4319	73
295	4333	58
296	4345	43
297	4354	29
298	4365	14
299	4379	0
